plan_id,sku_id,planned_date,planned_quantity,actual_produced_quantity,machine_id
PLAN-00002931,SKU-SEM-022,2024-05-05,27216,27481,M3
PLAN-00002932,SKU-SEM-022,2024-05-12,28597,30239,M1
PLAN-00002933,SKU-SEM-022,2024-05-19,30132,29368,M5
PLAN-00002934,SKU-SEM-022,2024-05-26,28903,33612,M6
PLAN-00002935,SKU-SEM-022,2024-06-02,28179,28094,M4
PLAN-00002936,SKU-SEM-022,2024-06-09,31685,29309,M2
PLAN-00002937,SKU-SEM-022,2024-06-16,31670,27429,M1
PLAN-00002938,SKU-SEM-022,2024-06-23,30690,32613,M5
PLAN-00002939,SKU-SEM-022,2024-06-30,32237,28998,M1
PLAN-00002940,SKU-SEM-022,2024-07-07,31601,31728,M3
PLAN-00002941,SKU-SEM-022,2024-07-14,31183,33408,M4
PLAN-00002942,SKU-SEM-022,2024-07-21,32648,38070,M5
PLAN-00002943,SKU-SEM-022,2024-07-28,28047,26875,M5
PLAN-00002944,SKU-SEM-022,2024-08-04,27241,24721,M1
PLAN-00002945,SKU-SEM-022,2024-08-11,32753,32136,M1
PLAN-00002946,SKU-SEM-022,2024-08-18,32315,31665,M3
PLAN-00002947,SKU-SEM-022,2024-08-25,33274,34866,M4
PLAN-00002948,SKU-SEM-022,2024-09-01,29607,30976,M2
PLAN-00002949,SKU-SEM-022,2024-09-08,33276,33853,M4
PLAN-00002950,SKU-SEM-022,2024-09-15,28383,30723,M3
PLAN-00002951,SKU-SEM-022,2024-09-22,29109,31725,M2
PLAN-00002952,SKU-SEM-022,2024-09-29,27452,26589,M6
PLAN-00002953,SKU-SEM-022,2024-10-06,30305,28012,M2
PLAN-00002954,SKU-SEM-022,2024-10-13,29673,28433,M2
PLAN-00002955,SKU-SEM-022,2024-10-20,29159,31012,M4
PLAN-00002956,SKU-SEM-022,2024-10-27,33359,30531,M3
PLAN-00002957,SKU-SEM-022,2024-11-03,27061,30405,M6
PLAN-00002958,SKU-SEM-022,2024-11-10,30234,29048,M5
PLAN-00002959,SKU-SEM-022,2024-11-17,29205,31734,M5
PLAN-00002960,SKU-SEM-022,2024-11-24,26866,24324,M5
PLAN-00002961,SKU-SEM-022,2024-12-01,32902,31047,M1
PLAN-00002962,SKU-SEM-022,2024-12-08,29316,29525,M2
PLAN-00002963,SKU-SEM-022,2024-12-15,30793,29855,M5
PLAN-00002964,SKU-SEM-022,2024-12-22,28385,26071,M2
PLAN-00002965,SKU-SEM-022,2024-12-29,30209,31963,M3
PLAN-00002966,SKU-SEM-022,2025-01-05,31543,29560,M1
PLAN-00002967,SKU-SEM-022,2025-01-12,29191,30133,M6
PLAN-00002968,SKU-SEM-022,2025-01-19,32007,30667,M5
PLAN-00002969,SKU-SEM-022,2025-01-26,30760,30290,M3
PLAN-00002970,SKU-SEM-022,2025-02-02,31094,30903,M2
PLAN-00002971,SKU-SEM-022,2025-02-09,31176,27014,M3
PLAN-00002972,SKU-SEM-022,2025-02-16,28945,29198,M2
PLAN-00002973,SKU-SEM-022,2025-02-23,31944,31110,M6
PLAN-00002974,SKU-SEM-022,2025-03-02,38999,37624,M1
PLAN-00002975,SKU-SEM-022,2025-03-09,40518,41978,M1
PLAN-00002976,SKU-SEM-022,2025-03-16,43246,38204,M5
PLAN-00002977,SKU-SEM-022,2025-03-23,43576,44655,M2
PLAN-00002978,SKU-SEM-022,2025-03-30,32633,30266,M2
PLAN-00002979,SKU-SEM-022,2025-04-06,26391,30179,M3
PLAN-00002980,SKU-SEM-022,2025-04-13,33387,37359,M5
PLAN-00002981,SKU-SEM-022,2025-04-20,31312,26404,M5
PLAN-00002982,SKU-SEM-022,2025-04-27,29503,30588,M6
PLAN-00002983,SKU-SEM-022,2025-05-04,30067,30869,M4
PLAN-00002984,SKU-SEM-022,2025-05-11,27227,28024,M6
PLAN-00002985,SKU-SEM-022,2025-05-18,31132,29595,M1
PLAN-00002986,SKU-SEM-022,2025-05-25,26197,28492,M3
PLAN-00002987,SKU-SEM-022,2025-06-01,34299,35400,M6
PLAN-00002988,SKU-SEM-022,2025-06-08,31902,30342,M4
PLAN-00002989,SKU-SEM-022,2025-06-15,32739,35624,M6
PLAN-00002990,SKU-SEM-022,2025-06-22,28355,28766,M3
PLAN-00002991,SKU-SEM-023,2023-01-01,30306,31126,M6
PLAN-00002992,SKU-SEM-023,2023-01-08,29156,25678,M5
PLAN-00002993,SKU-SEM-023,2023-01-15,31135,31382,M2
PLAN-00002994,SKU-SEM-023,2023-01-22,29567,29665,M4
PLAN-00002995,SKU-SEM-023,2023-01-29,30169,30602,M1
PLAN-00002996,SKU-SEM-023,2023-02-05,28002,33559,M4
PLAN-00002997,SKU-SEM-023,2023-02-12,30868,30253,M6
PLAN-00002998,SKU-SEM-023,2023-02-19,31687,36368,M2
PLAN-00002999,SKU-SEM-023,2023-02-26,33725,32021,M5
PLAN-00003000,SKU-SEM-023,2023-03-05,31300,28588,M4
PLAN-00003001,SKU-SEM-023,2023-03-12,30358,29603,M5
PLAN-00003002,SKU-SEM-023,2023-03-19,32835,31602,M3
PLAN-00003003,SKU-SEM-023,2023-03-26,41440,35823,M4
PLAN-00003004,SKU-SEM-023,2023-04-02,38393,33508,M2
PLAN-00003005,SKU-SEM-023,2023-04-09,39586,43099,M1
PLAN-00003006,SKU-SEM-023,2023-04-16,37501,38551,M3
PLAN-00003007,SKU-SEM-023,2023-04-23,31222,31275,M2
PLAN-00003008,SKU-SEM-023,2023-04-30,29012,28869,M6
PLAN-00003009,SKU-SEM-023,2023-05-07,32547,31748,M3
PLAN-00003010,SKU-SEM-023,2023-05-14,30649,33777,M1
PLAN-00003011,SKU-SEM-023,2023-05-21,28778,31094,M3
PLAN-00003012,SKU-SEM-023,2023-05-28,29785,31632,M4
PLAN-00003013,SKU-SEM-023,2023-06-04,27962,31158,M4
PLAN-00003014,SKU-SEM-023,2023-06-11,31843,29823,M6
PLAN-00003015,SKU-SEM-023,2023-06-18,29883,27041,M2
PLAN-00003016,SKU-SEM-023,2023-06-25,34478,33056,M2
PLAN-00003017,SKU-SEM-023,2023-07-02,32717,28364,M4
PLAN-00003018,SKU-SEM-023,2023-07-09,29400,30668,M6
PLAN-00003019,SKU-SEM-023,2023-07-16,32198,32301,M4
PLAN-00003020,SKU-SEM-023,2023-07-23,29478,29404,M6
PLAN-00003021,SKU-SEM-023,2023-07-30,30015,29019,M1
PLAN-00003022,SKU-SEM-023,2023-08-06,30892,30603,M4
PLAN-00003023,SKU-SEM-023,2023-08-13,32006,30590,M5
PLAN-00003024,SKU-SEM-023,2023-08-20,34459,37707,M2
PLAN-00003025,SKU-SEM-023,2023-08-27,32936,32667,M4
PLAN-00003026,SKU-SEM-023,2023-09-03,35295,40609,M2
PLAN-00003027,SKU-SEM-023,2023-09-10,30522,26582,M6
PLAN-00003028,SKU-SEM-023,2023-09-17,29010,28577,M3
PLAN-00003029,SKU-SEM-023,2023-09-24,31707,30917,M2
PLAN-00003030,SKU-SEM-023,2023-10-01,32116,24254,M6
PLAN-00003031,SKU-SEM-023,2023-10-08,29526,30661,M1
PLAN-00003032,SKU-SEM-023,2023-10-15,27848,27032,M2
PLAN-00003033,SKU-SEM-023,2023-10-22,30318,31865,M4
PLAN-00003034,SKU-SEM-023,2023-10-29,30805,33672,M5
PLAN-00003035,SKU-SEM-023,2023-11-05,28245,26253,M4
PLAN-00003036,SKU-SEM-023,2023-11-12,33104,38411,M6
PLAN-00003037,SKU-SEM-023,2023-11-19,31755,29075,M3
PLAN-00003038,SKU-SEM-023,2023-11-26,29351,29057,M3
PLAN-00003039,SKU-SEM-023,2023-12-03,32112,33914,M3
PLAN-00003040,SKU-SEM-023,2023-12-10,31224,29241,M2
PLAN-00003041,SKU-SEM-023,2023-12-17,30567,31816,M5
PLAN-00003042,SKU-SEM-023,2023-12-24,28686,27658,M4
PLAN-00003043,SKU-SEM-023,2023-12-31,32861,33296,M4
PLAN-00003044,SKU-SEM-023,2024-01-07,30846,30012,M5
PLAN-00003045,SKU-SEM-023,2024-01-14,30598,29813,M5
PLAN-00003046,SKU-SEM-023,2024-01-21,31358,34776,M6
PLAN-00003047,SKU-SEM-023,2024-01-28,30240,29461,M1
PLAN-00003048,SKU-SEM-023,2024-02-04,30510,30902,M3
PLAN-00003049,SKU-SEM-023,2024-02-11,32739,30803,M3
PLAN-00003050,SKU-SEM-023,2024-02-18,31561,32601,M4
PLAN-00003051,SKU-SEM-023,2024-02-25,29965,24246,M4
PLAN-00003052,SKU-SEM-023,2024-03-03,31714,31429,M3
PLAN-00003053,SKU-SEM-023,2024-03-10,38373,40322,M2
PLAN-00003054,SKU-SEM-023,2024-03-17,43617,48029,M6
PLAN-00003055,SKU-SEM-023,2024-03-24,41105,41902,M2
PLAN-00003056,SKU-SEM-023,2024-03-31,41187,37873,M5
PLAN-00003057,SKU-SEM-023,2024-04-07,34195,33897,M2
PLAN-00003058,SKU-SEM-023,2024-04-14,29717,29646,M3
PLAN-00003059,SKU-SEM-023,2024-04-21,30550,29716,M3
PLAN-00003060,SKU-SEM-023,2024-04-28,31651,23995,M2
PLAN-00003061,SKU-SEM-023,2024-05-05,32581,27558,M2
PLAN-00003062,SKU-SEM-023,2024-05-12,28884,31929,M4
PLAN-00003063,SKU-SEM-023,2024-05-19,31439,28587,M5
PLAN-00003064,SKU-SEM-023,2024-05-26,31978,30246,M1
PLAN-00003065,SKU-SEM-023,2024-06-02,29821,36154,M5
PLAN-00003066,SKU-SEM-023,2024-06-09,36291,36157,M4
PLAN-00003067,SKU-SEM-023,2024-06-16,35395,31274,M2
PLAN-00003068,SKU-SEM-023,2024-06-23,31164,31777,M6
PLAN-00003069,SKU-SEM-023,2024-06-30,27471,29897,M3
PLAN-00003070,SKU-SEM-023,2024-07-07,34791,36751,M2
PLAN-00003071,SKU-SEM-023,2024-07-14,30980,30089,M6
PLAN-00003072,SKU-SEM-023,2024-07-21,29787,24711,M3
PLAN-00003073,SKU-SEM-023,2024-07-28,29079,30888,M6
PLAN-00003074,SKU-SEM-023,2024-08-04,32187,32935,M1
PLAN-00003075,SKU-SEM-023,2024-08-11,32487,36638,M3
PLAN-00003076,SKU-SEM-023,2024-08-18,35655,34654,M2
PLAN-00003077,SKU-SEM-023,2024-08-25,34778,34080,M6
PLAN-00003078,SKU-SEM-023,2024-09-01,37140,35486,M4
PLAN-00003079,SKU-SEM-023,2024-09-08,33165,35574,M6
PLAN-00003080,SKU-SEM-023,2024-09-15,33281,25217,M6
PLAN-00003081,SKU-SEM-023,2024-09-22,28765,29822,M5
PLAN-00003082,SKU-SEM-023,2024-09-29,31348,27382,M1
PLAN-00003083,SKU-SEM-023,2024-10-06,30727,30712,M6
PLAN-00003084,SKU-SEM-023,2024-10-13,29889,33793,M3
PLAN-00003085,SKU-SEM-023,2024-10-20,28847,30563,M4
PLAN-00003086,SKU-SEM-023,2024-10-27,32504,35743,M4
PLAN-00003087,SKU-SEM-023,2024-11-03,30999,27638,M3
PLAN-00003088,SKU-SEM-023,2024-11-10,33511,35144,M1
PLAN-00003089,SKU-SEM-023,2024-11-17,33467,34744,M4
PLAN-00003090,SKU-SEM-023,2024-11-24,30052,32210,M3
PLAN-00003091,SKU-SEM-023,2024-12-01,30986,34244,M1
PLAN-00003092,SKU-SEM-023,2024-12-08,31341,31761,M2
PLAN-00003093,SKU-SEM-023,2024-12-15,30971,31586,M4
PLAN-00003094,SKU-SEM-023,2024-12-22,33391,35151,M2
PLAN-00003095,SKU-SEM-023,2024-12-29,30092,26944,M4
PLAN-00003096,SKU-SEM-023,2025-01-05,33294,34317,M5
PLAN-00003097,SKU-SEM-023,2025-01-12,36737,40940,M4
PLAN-00003098,SKU-SEM-023,2025-01-19,28893,25199,M1
PLAN-00003099,SKU-SEM-023,2025-01-26,30429,30425,M2
PLAN-00003100,SKU-SEM-023,2025-02-02,32068,28725,M6
PLAN-00003101,SKU-SEM-023,2025-02-09,29309,29808,M5
PLAN-00003102,SKU-SEM-023,2025-02-16,31606,31559,M3
PLAN-00003103,SKU-SEM-023,2025-02-23,30444,29102,M3
PLAN-00003104,SKU-SEM-023,2025-03-02,42833,45159,M4
PLAN-00003105,SKU-SEM-023,2025-03-09,37214,36080,M2
PLAN-00003106,SKU-SEM-023,2025-03-16,44443,48635,M1
PLAN-00003107,SKU-SEM-023,2025-03-23,41867,41130,M1
PLAN-00003108,SKU-SEM-023,2025-03-30,34879,30091,M6
PLAN-00003109,SKU-SEM-023,2025-04-06,30972,31878,M4
PLAN-00003110,SKU-SEM-023,2025-04-13,33829,32872,M1
PLAN-00003111,SKU-SEM-023,2025-04-20,34696,38335,M5
PLAN-00003112,SKU-SEM-023,2025-04-27,35780,35870,M5
PLAN-00003113,SKU-SEM-023,2025-05-04,29435,27844,M1
PLAN-00003114,SKU-SEM-023,2025-05-11,30493,27603,M3
PLAN-00003115,SKU-SEM-023,2025-05-18,36723,35368,M2
PLAN-00003116,SKU-SEM-023,2025-05-25,35008,33161,M2
PLAN-00003117,SKU-SEM-023,2025-06-01,32426,34448,M4
PLAN-00003118,SKU-SEM-023,2025-06-08,33692,33129,M5
PLAN-00003119,SKU-SEM-023,2025-06-15,35770,34835,M2
PLAN-00003120,SKU-SEM-023,2025-06-22,33928,33580,M5
PLAN-00003121,SKU-SEL-024,2023-01-01,37032,34117,M6
PLAN-00003122,SKU-SEL-024,2023-01-08,33697,40264,M1
PLAN-00003123,SKU-SEL-024,2023-01-15,38825,35583,M5
PLAN-00003124,SKU-SEL-024,2023-01-22,35172,37183,M2
PLAN-00003125,SKU-SEL-024,2023-01-29,37023,36429,M1
PLAN-00003126,SKU-SEL-024,2023-02-05,35786,36641,M3
PLAN-00003127,SKU-SEL-024,2023-02-12,34663,29851,M6
PLAN-00003128,SKU-SEL-024,2023-02-19,34965,37360,M4
PLAN-00003129,SKU-SEL-024,2023-02-26,34792,34302,M1
PLAN-00003130,SKU-SEL-024,2023-03-05,35922,36483,M5
PLAN-00003131,SKU-SEL-024,2023-03-12,35380,35693,M4
PLAN-00003132,SKU-SEL-024,2023-03-19,38409,37993,M3
PLAN-00003133,SKU-SEL-024,2023-03-26,49082,45966,M1
PLAN-00003134,SKU-SEL-024,2023-04-02,46089,51611,M3
PLAN-00003135,SKU-SEL-024,2023-04-09,43882,39673,M1
PLAN-00003136,SKU-SEL-024,2023-04-16,41882,41304,M2
PLAN-00003137,SKU-SEL-024,2023-04-23,36192,36149,M1
PLAN-00003138,SKU-SEL-024,2023-04-30,31350,33988,M3
PLAN-00003139,SKU-SEL-024,2023-05-07,38536,36376,M1
PLAN-00003140,SKU-SEL-024,2023-05-14,37674,36742,M3
PLAN-00003141,SKU-SEL-024,2023-05-21,34226,33191,M1
PLAN-00003142,SKU-SEL-024,2023-05-28,35057,31094,M6
PLAN-00003143,SKU-SEL-024,2023-06-04,34359,34801,M2
PLAN-00003144,SKU-SEL-024,2023-06-11,32768,31066,M4
PLAN-00003145,SKU-SEL-024,2023-06-18,36310,36135,M4
PLAN-00003146,SKU-SEL-024,2023-06-25,42664,47785,M2
PLAN-00003147,SKU-SEL-024,2023-07-02,37577,34750,M5
PLAN-00003148,SKU-SEL-024,2023-07-09,33850,33962,M3
PLAN-00003149,SKU-SEL-024,2023-07-16,37687,37519,M6
PLAN-00003150,SKU-SEL-024,2023-07-23,36182,39373,M1
PLAN-00003151,SKU-SEL-024,2023-07-30,34340,34156,M3
PLAN-00003152,SKU-SEL-024,2023-08-06,37609,33242,M6
PLAN-00003153,SKU-SEL-024,2023-08-13,36942,44795,M1
PLAN-00003154,SKU-SEL-024,2023-08-20,37832,39495,M3
PLAN-00003155,SKU-SEL-024,2023-08-27,36905,33828,M5
PLAN-00003156,SKU-SEL-024,2023-09-03,38469,45233,M3
PLAN-00003157,SKU-SEL-024,2023-09-10,34503,29316,M3
PLAN-00003158,SKU-SEL-024,2023-09-17,36079,35547,M1
PLAN-00003159,SKU-SEL-024,2023-09-24,38417,35304,M2
PLAN-00003160,SKU-SEL-024,2023-10-01,37520,36745,M6
PLAN-00003161,SKU-SEL-024,2023-10-08,32922,35981,M5
PLAN-00003162,SKU-SEL-024,2023-10-15,34652,29105,M2
PLAN-00003163,SKU-SEL-024,2023-10-22,37112,34765,M1
PLAN-00003164,SKU-SEL-024,2023-10-29,36676,34589,M1
PLAN-00003165,SKU-SEL-024,2023-11-05,35132,38635,M4
PLAN-00003166,SKU-SEL-024,2023-11-12,33047,33618,M2
PLAN-00003167,SKU-SEL-024,2023-11-19,36283,37456,M5
PLAN-00003168,SKU-SEL-024,2023-11-26,35610,34254,M6
PLAN-00003169,SKU-SEL-024,2023-12-03,38456,41983,M2
PLAN-00003170,SKU-SEL-024,2023-12-10,36328,39044,M1
PLAN-00003171,SKU-SEL-024,2023-12-17,35199,33260,M3
PLAN-00003172,SKU-SEL-024,2023-12-24,33535,33429,M1
PLAN-00003173,SKU-SEL-024,2023-12-31,37618,39062,M6
PLAN-00003174,SKU-SEL-024,2024-01-07,37772,35224,M3
PLAN-00003175,SKU-SEL-024,2024-01-14,37145,33726,M4
PLAN-00003176,SKU-SEL-024,2024-01-21,36577,39313,M2
PLAN-00003177,SKU-SEL-024,2024-01-28,40837,35465,M2
PLAN-00003178,SKU-SEL-024,2024-02-04,32843,36821,M2
PLAN-00003179,SKU-SEL-024,2024-02-11,36809,36911,M6
PLAN-00003180,SKU-SEL-024,2024-02-18,35044,37989,M1
PLAN-00003181,SKU-SEL-024,2024-02-25,37497,40407,M3
PLAN-00003182,SKU-SEL-024,2024-03-03,35713,37309,M2
PLAN-00003183,SKU-SEL-024,2024-03-10,44145,40760,M5
PLAN-00003184,SKU-SEL-024,2024-03-17,45766,37025,M2
PLAN-00003185,SKU-SEL-024,2024-03-24,46845,42354,M4
PLAN-00003186,SKU-SEL-024,2024-03-31,45093,43471,M2
PLAN-00003187,SKU-SEL-024,2024-04-07,42898,39111,M1
PLAN-00003188,SKU-SEL-024,2024-04-14,35151,33138,M3
PLAN-00003189,SKU-SEL-024,2024-04-21,36064,36250,M5
PLAN-00003190,SKU-SEL-024,2024-04-28,35286,33111,M3
PLAN-00003191,SKU-SEL-024,2024-05-05,36970,36356,M6
PLAN-00003192,SKU-SEL-024,2024-05-12,38292,34901,M5
PLAN-00003193,SKU-SEL-024,2024-05-19,35161,37528,M3
PLAN-00003194,SKU-SEL-024,2024-05-26,37331,39267,M2
PLAN-00003195,SKU-SEL-024,2024-06-02,39396,37147,M2
PLAN-00003196,SKU-SEL-024,2024-06-09,37624,36691,M1
PLAN-00003197,SKU-SEL-024,2024-06-16,38540,36915,M1
PLAN-00003198,SKU-SEL-024,2024-06-23,38874,38571,M6
PLAN-00003199,SKU-SEL-024,2024-06-30,36056,36328,M4
PLAN-00003200,SKU-SEL-024,2024-07-07,35370,29984,M6
PLAN-00003201,SKU-SEL-024,2024-07-14,35203,37087,M6
PLAN-00003202,SKU-SEL-024,2024-07-21,38000,45008,M3
PLAN-00003203,SKU-SEL-024,2024-07-28,35179,32799,M3
PLAN-00003204,SKU-SEL-024,2024-08-04,35938,35501,M5
PLAN-00003205,SKU-SEL-024,2024-08-11,37562,37042,M1
PLAN-00003206,SKU-SEL-024,2024-08-18,40044,50739,M6
PLAN-00003207,SKU-SEL-024,2024-08-25,37151,40854,M5
PLAN-00003208,SKU-SEL-024,2024-09-01,38361,38035,M3
PLAN-00003209,SKU-SEL-024,2024-09-08,35523,33580,M4
PLAN-00003210,SKU-SEL-024,2024-09-15,35243,36875,M5
PLAN-00003211,SKU-SEL-024,2024-09-22,36088,35993,M3
PLAN-00003212,SKU-SEL-024,2024-09-29,37241,39606,M6
PLAN-00003213,SKU-SEL-024,2024-10-06,36249,39927,M2
PLAN-00003214,SKU-SEL-024,2024-10-13,39545,43924,M3
PLAN-00003215,SKU-SEL-024,2024-10-20,36083,34772,M5
PLAN-00003216,SKU-SEL-024,2024-10-27,31637,29168,M4
PLAN-00003217,SKU-SEL-024,2024-11-03,38621,36807,M3
PLAN-00003218,SKU-SEL-024,2024-11-10,38500,44333,M4
PLAN-00003219,SKU-SEL-024,2024-11-17,37360,37237,M5
PLAN-00003220,SKU-SEL-024,2024-11-24,36441,34095,M4
PLAN-00003221,SKU-SEL-024,2024-12-01,33928,35424,M2
PLAN-00003222,SKU-SEL-024,2024-12-08,32978,31631,M4
PLAN-00003223,SKU-SEL-024,2024-12-15,34727,35083,M4
PLAN-00003224,SKU-SEL-024,2024-12-22,33878,34165,M5
PLAN-00003225,SKU-SEL-024,2024-12-29,35418,32374,M5
PLAN-00003226,SKU-SEL-024,2025-01-05,35784,32997,M3
PLAN-00003227,SKU-SEL-024,2025-01-12,36816,36110,M2
PLAN-00003228,SKU-SEL-024,2025-01-19,38656,41850,M6
PLAN-00003229,SKU-SEL-024,2025-01-26,35529,35515,M4
PLAN-00003230,SKU-SEL-024,2025-02-02,36576,33630,M2
PLAN-00003231,SKU-SEL-024,2025-02-09,38507,40508,M1
PLAN-00003232,SKU-SEL-024,2025-02-16,33919,33854,M5
PLAN-00003233,SKU-SEL-024,2025-02-23,40981,42054,M3
PLAN-00003234,SKU-SEL-024,2025-03-02,44375,41512,M2
PLAN-00003235,SKU-SEL-024,2025-03-09,47297,46616,M1
PLAN-00003236,SKU-SEL-024,2025-03-16,51587,55414,M1
PLAN-00003237,SKU-SEL-024,2025-03-23,47042,49119,M2
PLAN-00003238,SKU-SEL-024,2025-03-30,38422,38521,M2
PLAN-00003239,SKU-SEL-024,2025-04-06,36615,38644,M5
PLAN-00003240,SKU-SEL-024,2025-04-13,37239,38324,M2
PLAN-00003241,SKU-SEL-024,2025-04-20,37649,37358,M6
PLAN-00003242,SKU-SEL-024,2025-04-27,41475,39490,M2
PLAN-00003243,SKU-SEL-024,2025-05-04,39018,37196,M2
PLAN-00003244,SKU-SEL-024,2025-05-11,33803,34482,M6
PLAN-00003245,SKU-SEL-024,2025-05-18,39750,38468,M2
PLAN-00003246,SKU-SEL-024,2025-05-25,39593,36408,M2
PLAN-00003247,SKU-SEL-024,2025-06-01,39664,42738,M6
PLAN-00003248,SKU-SEL-024,2025-06-08,37540,37073,M2
PLAN-00003249,SKU-SEL-024,2025-06-15,38332,38975,M2
PLAN-00003250,SKU-SEL-024,2025-06-22,36774,38521,M3
PLAN-00003251,SKU-BRA-025,2023-01-01,25024,24211,M3
PLAN-00003252,SKU-BRA-025,2023-01-08,26664,29703,M2
PLAN-00003253,SKU-BRA-025,2023-01-15,24599,22635,M1
PLAN-00003254,SKU-BRA-025,2023-01-22,27078,32004,M5
PLAN-00003255,SKU-BRA-025,2023-01-29,27113,30328,M6
PLAN-00003256,SKU-BRA-025,2023-02-05,24149,21307,M2
PLAN-00003257,SKU-BRA-025,2023-02-12,23077,25315,M3
PLAN-00003258,SKU-BRA-025,2023-02-19,24220,25008,M4
PLAN-00003259,SKU-BRA-025,2023-02-26,26355,28417,M5
PLAN-00003260,SKU-BRA-025,2023-03-05,24682,26367,M3
PLAN-00003261,SKU-BRA-025,2023-03-12,24719,22259,M3
PLAN-00003262,SKU-BRA-025,2023-03-19,28690,30687,M3
PLAN-00003263,SKU-BRA-025,2023-03-26,32854,33351,M5
PLAN-00003264,SKU-BRA-025,2023-04-02,32415,29845,M4
PLAN-00003265,SKU-BRA-025,2023-04-09,31691,28456,M1
PLAN-00003266,SKU-BRA-025,2023-04-16,32364,30864,M1
PLAN-00003267,SKU-BRA-025,2023-04-23,24612,22861,M2
PLAN-00003268,SKU-BRA-025,2023-04-30,28134,26974,M5
PLAN-00003269,SKU-BRA-025,2023-05-07,26460,24864,M6
PLAN-00003270,SKU-BRA-025,2023-05-14,24995,26280,M4
PLAN-00003271,SKU-BRA-025,2023-05-21,25546,24825,M2
PLAN-00003272,SKU-BRA-025,2023-05-28,24042,23545,M2
PLAN-00003273,SKU-BRA-025,2023-06-04,24613,25623,M6
PLAN-00003274,SKU-BRA-025,2023-06-11,27268,25984,M5
PLAN-00003275,SKU-BRA-025,2023-06-18,26138,28100,M3
PLAN-00003276,SKU-BRA-025,2023-06-25,27938,27488,M3
PLAN-00003277,SKU-BRA-025,2023-07-02,26725,24450,M2
PLAN-00003278,SKU-BRA-025,2023-07-09,26394,24237,M3
PLAN-00003279,SKU-BRA-025,2023-07-16,25673,23680,M4
PLAN-00003280,SKU-BRA-025,2023-07-23,24355,22282,M1
PLAN-00003281,SKU-BRA-025,2023-07-30,26481,26748,M3
PLAN-00003282,SKU-BRA-025,2023-08-06,24194,25798,M4
PLAN-00003283,SKU-BRA-025,2023-08-13,28111,27214,M5
PLAN-00003284,SKU-BRA-025,2023-08-20,27940,25397,M5
PLAN-00003285,SKU-BRA-025,2023-08-27,26266,24175,M6
PLAN-00003286,SKU-BRA-025,2023-09-03,27832,26587,M3
PLAN-00003287,SKU-BRA-025,2023-09-10,25006,24057,M3
PLAN-00003288,SKU-BRA-025,2023-09-17,25453,28979,M6
PLAN-00003289,SKU-BRA-025,2023-09-24,26038,24850,M2
PLAN-00003290,SKU-BRA-025,2023-10-01,26688,23995,M6
PLAN-00003291,SKU-BRA-025,2023-10-08,25196,24330,M6
PLAN-00003292,SKU-BRA-025,2023-10-15,24541,23345,M4
PLAN-00003293,SKU-BRA-025,2023-10-22,22992,21591,M6
PLAN-00003294,SKU-BRA-025,2023-10-29,26097,22656,M4
PLAN-00003295,SKU-BRA-025,2023-11-05,27568,25615,M3
PLAN-00003296,SKU-BRA-025,2023-11-12,24854,22093,M2
PLAN-00003297,SKU-BRA-025,2023-11-19,24493,22413,M6
PLAN-00003298,SKU-BRA-025,2023-11-26,26608,20022,M3
PLAN-00003299,SKU-BRA-025,2023-12-03,24067,23376,M1
PLAN-00003300,SKU-BRA-025,2023-12-10,26102,29656,M2
PLAN-00003301,SKU-BRA-025,2023-12-17,25041,25481,M6
PLAN-00003302,SKU-BRA-025,2023-12-24,24033,24838,M3
PLAN-00003303,SKU-BRA-025,2023-12-31,25337,22075,M1
PLAN-00003304,SKU-BRA-025,2024-01-07,27590,31609,M3
PLAN-00003305,SKU-BRA-025,2024-01-14,26104,25789,M3
PLAN-00003306,SKU-BRA-025,2024-01-21,26252,28078,M4
PLAN-00003307,SKU-BRA-025,2024-01-28,27148,30973,M2
PLAN-00003308,SKU-BRA-025,2024-02-04,25373,23305,M4
PLAN-00003309,SKU-BRA-025,2024-02-11,27318,29178,M1
PLAN-00003310,SKU-BRA-025,2024-02-18,26543,28173,M1
PLAN-00003311,SKU-BRA-025,2024-02-25,25798,26950,M3
PLAN-00003312,SKU-BRA-025,2024-03-03,26819,26085,M5
PLAN-00003313,SKU-BRA-025,2024-03-10,33311,29911,M4
PLAN-00003314,SKU-BRA-025,2024-03-17,34992,31595,M6
PLAN-00003315,SKU-BRA-025,2024-03-24,31302,29350,M2
PLAN-00003316,SKU-BRA-025,2024-03-31,38604,42078,M6
PLAN-00003317,SKU-BRA-025,2024-04-07,30758,31057,M4
PLAN-00003318,SKU-BRA-025,2024-04-14,24608,22077,M5
PLAN-00003319,SKU-BRA-025,2024-04-21,24487,22868,M5
PLAN-00003320,SKU-BRA-025,2024-04-28,24873,25612,M5
PLAN-00003321,SKU-BRA-025,2024-05-05,26244,23889,M2
PLAN-00003322,SKU-BRA-025,2024-05-12,28413,29982,M6
PLAN-00003323,SKU-BRA-025,2024-05-19,27451,26097,M3
PLAN-00003324,SKU-BRA-025,2024-05-26,25525,26597,M5
PLAN-00003325,SKU-BRA-025,2024-06-02,28254,25717,M1
PLAN-00003326,SKU-BRA-025,2024-06-09,28036,29544,M3
PLAN-00003327,SKU-BRA-025,2024-06-16,26786,28587,M3
PLAN-00003328,SKU-BRA-025,2024-06-23,26050,25003,M5
